,date,customer_id,item_id,quantity,price_per_unit,amount,Vrh_No
0,01-04-2019,customer1,Item_1,200.0,20.0,4000.0,1
1,01-04-2019,customer1,Item_2,160.0,28.0,4480.0,1
2,01-04-2019,customer1,Item_3,12.0,60.0,720.0,1
3,01-04-2019,customer1,Item_3,15.0,35.0,525.0,1
4,01-04-2019,customer1,Item_3,25.0,25.0,625.0,1
5,01-04-2019,customer1,Item_3,10.0,25.0,250.0,1
6,01-04-2019,customer1,Item_4,60.0,32.0,1920.0,1
7,01-04-2019,customer1,Item_4,60.0,30.0,1800.0,1
8,01-04-2019,customer1,Item_4,20.0,36.0,720.0,1
9,01-04-2019,customer2,Item_5,74.0,42.0,3108.0,2
10,01-04-2019,customer2,Item_6,110.0,17.0,1870.0,2
11,01-04-2019,customer2,Item_3,8.0,48.0,384.0,2
12,01-04-2019,customer2,Item_3,20.0,30.0,600.0,2
13,01-04-2019,customer2,Item_3,5.0,48.0,240.0,2
14,01-04-2019,customer3,Item_7,120.0,22.0,2640.0,3
15,01-04-2019,customer2,Item_3,500.0,19.0,9500.0,4
16,01-04-2019,customer4,Item_8,40.0,40.0,1600.0,5
17,01-04-2019,customer5,Item_9,500.0,11.0,5500.0,6
18,01-04-2019,customer6,Item_10,100.0,13.5,1350.0,7
19,01-04-2019,customer2,Item_2,90.0,22.0,1980.0,8
20,01-04-2019,customer2,Item_2,80.0,20.0,1600.0,8
21,01-04-2019,customer2,Item_6,130.0,17.0,2210.0,8
22,01-04-2019,customer2,Item_5,50.0,42.0,2100.0,9
23,01-04-2019,customer7,Item_7,240.0,22.0,5280.0,10
24,01-04-2019,customer7,Item_3,12.0,58.0,696.0,10
25,01-04-2019,customer7,Item_3,10.0,63.0,630.0,10
26,01-04-2019,customer7,Item_3,15.0,33.0,495.0,10
27,01-04-2019,customer7,Item_1,50.0,20.0,1000.0,10
28,01-04-2019,customer8,Item_11,80.0,30.0,2400.0,11
29,01-04-2019,customer8,Item_7,624.0,21.5,13416.0,11
30,01-04-2019,customer9,Item_2,120.0,24.0,2880.0,12
31,01-04-2019,customer9,Item_2,60.0,31.0,1860.0,12
32,01-04-2019,customer9,Item_12,10.0,32.0,320.0,12
33,01-04-2019,customer10,Item_3,120.0,38.0,4560.0,13
34,01-04-2019,customer10,Item_3,15.0,35.0,525.0,13
35,01-04-2019,customer10,Item_3,120.0,52.0,6240.0,13
36,01-04-2019,customer10,Item_3,90.0,30.0,2700.0,13
37,01-04-2019,customer10,Item_3,300.0,24.0,7200.0,13
38,01-04-2019,customer10,Item_3,170.0,38.0,6460.0,13
39,01-04-2019,customer10,Item_13,36.0,68.0,2448.0,13
40,01-04-2019,customer10,Item_13,24.0,68.0,1632.0,13
41,01-04-2019,customer10,Item_14,19.0,65.0,1235.0,13
42,01-04-2019,customer10,Item_15,12.0,78.0,936.0,13
43,01-04-2019,customer10,Item_16,28.0,88.0,2464.0,13
44,01-04-2019,customer10,Item_17,24.0,85.0,2040.0,13
45,01-04-2019,customer10,Item_18,24.0,75.0,1800.0,13
46,01-04-2019,customer10,Item_2,1200.0,22.0,26400.0,13
47,02-04-2019,customer10,Item_19,1000.0,6.9,6900.0,14
48,02-04-2019,customer10,Item_20,1000.0,7.9,7900.0,14
49,02-04-2019,customer10,Item_1,850.0,21.0,17850.0,14
50,02-04-2019,customer11,Item_6,188.0,17.0,3196.0,15
51,02-04-2019,customer11,Item_3,1.0,13.0,13.0,15
52,02-04-2019,customer12,Item_19,3000.0,7.0,21000.0,16
53,03-04-2019,customer13,Item_6,250.0,17.0,4250.0,17
54,03-04-2019,customer13,Item_3,1.0,10.0,10.0,17
